I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
295,27,0.002880096435546875,9374.686092715232,8.65,213.09375,,8514,8541
296,18,0.0019071102142333984,9438.363795474434,8.6125,213.09375,,8541,8559
297,26,0.002753019332885742,9444.17632285442,8.525,213.09375,,8559,8585
298,23,0.0024261474609375,9480.050314465409,8.65,213.09375,,8585,8608
299,27,0.002772092819213867,9739.93360282102,8.55,213.09375,,8608,8635
300,21,0.002155780792236328,9741.250165892501,8.4625,213.09375,,8635,8656
301,9,0.0009002685546875,9997.016949152543,8.425,213.09375,,8656,8665
302,27,0.002864837646484375,9424.617842876165,8.575,213.09375,,8665,8692
303,14,0.001470804214477539,9518.602042470417,9.1625,213.09375,,8692,8706
304,25,0.0026521682739257812,9426.249550521396,8.6,213.09375,,8706,8731
305,26,0.0026428699493408203,9837.790166892197,8.4375,213.09375,,8731,8757
306,26,0.002637147903442383,9859.136063647049,8.475,213.09375,,8757,8783
307,32,0.0033578872680664062,9529.80176086339,8.7875,213.09375,,8783,8815
308,31,0.003240346908569336,9566.87690383342,8.525,213.09375,,8815,8846
309,44,0.004682064056396484,9397.564721458397,8.425,213.09375,,8846,8890
310,33,0.0033178329467773438,9946.251221615406,8.45,213.09375,,8890,8923
311,20,0.001981973648071289,10090.95152171298,8.3625,213.09375,,8923,8943
312,24,0.0023758411407470703,10101.685499247365,8.3875,213.09375,,8943,8967
313,26,0.0025911331176757812,10034.22009569378,8.325,213.09375,,8967,8993
314,19,0.0018587112426757812,10222.13648024628,8.2625,213.09375,,8993,9012
315,24,0.0024750232696533203,9696.878528080146,8.4875,213.09375,,9012,9036
316,24,0.0027027130126953125,8879.966125617502,8.825,213.09375,,9036,9060
317,36,0.003729104995727539,9653.790934083498,8.4875,213.09375,,9060,9096
318,25,0.002457141876220703,10174.422666407918,8.3625,213.09375,,9096,9121
319,21,0.0021598339080810547,9722.969864223423,8.55,213.09375,,9121,9142
320,19,0.001912832260131836,9932.914869749471,8.4375,213.09375,,9142,9161
321,35,0.003793954849243164,9225.202036071138,8.575,213.09375,,9161,9196
322,43,0.0045130252838134766,9527.976755243277,8.5875,213.09375,,9196,9239
323,26,0.002685070037841797,9683.173858994849,8.5,213.09375,,9239,9265
324,15,0.0015218257904052734,9856.581544728184,8.45,213.09375,,9265,9280
