I,Window Size,Processing Time (s),Events/s,CPU (%), Memory (MB),CPU (%)
149,100,0.009658098220825195,10354.005282776667,8.1,239.0625,
150,100,0.009582996368408203,10435.149524804698,8.1,239.0625,
151,100,0.008478879928588867,11794.010629024548,7.6,239.0625,
152,100,0.009097099304199219,10992.514938672817,7.9,239.0625,
153,100,0.008435964584350586,11854.008987366815,7.5625,239.0625,
154,100,0.00888514518737793,11254.74011860359,7.775,239.0625,
155,100,0.009624004364013672,10390.685230144181,8.0125,239.0625,
156,100,0.009546041488647461,10475.546342316242,8.05,239.0625,
157,100,0.008159875869750977,12255.08838568298,7.375,239.0625,
158,100,0.008868694305419922,11275.616968654229,7.7875,239.0625,
159,100,0.009552001953125,10469.009584664536,8.0625,239.0625,
160,100,0.009324073791503906,10724.925846374143,7.9625,239.0625,
161,100,0.00911092758178711,10975.830847333438,7.875,239.0625,
162,100,2.3125979900360107,43.241410928685816,8.3125,241.96875,
163,100,1.0230190753936768,97.74988795934048,12.45,241.96875,
164,100,0.7216949462890625,138.56269953696852,12.425,241.96875,
165,100,0.4601409435272217,217.32471627812023,12.425,241.984375,
166,100,0.2126626968383789,470.22821344167755,12.325,242.0,
167,100,0.8757708072662354,114.18512602875548,12.4375,244.6875,
168,100,1.2087528705596924,82.72989660301424,12.45,244.6875,
169,100,0.864818811416626,115.63115727812847,12.4375,243.6875,
170,100,0.5729026794433594,174.54971601313065,12.425,243.703125,
171,100,0.35637807846069336,280.60087318482323,12.4,243.703125,
172,100,0.12169504165649414,821.7261659868424,12.2,243.140625,
173,100,1.412275791168213,70.80769961884111,12.4625,246.8125,
174,100,1.050694227218628,95.17516838815946,12.45,246.8125,
175,100,0.8293530941009521,120.57590513773089,12.4625,245.8125,
176,100,0.43435025215148926,230.22894427864355,12.4125,244.8125,
177,100,0.19964814186096191,500.8811956268622,12.3125,243.8125,
178,100,0.043884992599487305,2278.6833055354846,11.6375,242.8125,
179,100,0.00902414321899414,11081.384412153237,7.775,242.8125,
