I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
213,20,0.0018658638000488281,10718.895987733196,7.5875,206.671875,,3243,3263
214,15,0.0013208389282226562,11356.418772563176,7.7375,206.671875,,3263,3278
215,19,0.0016498565673828125,11516.152601156069,7.7,206.671875,,3278,3297
216,8,0.0007188320159912109,11129.164842454395,7.9375,206.671875,,3297,3305
217,12,0.0010390281677246094,11549.25378614043,7.725,206.671875,,3305,3317
218,7,0.0006139278411865234,11401.99145631068,7.8625,206.671875,,3317,3324
219,40,0.003422975540161133,11685.739360590653,7.6375,206.671875,,3324,3364
220,7,0.0006122589111328125,11433.071651090342,7.8625,206.671875,,3364,3371
221,9,0.0007648468017578125,11767.062344139651,7.65,206.671875,,3371,3380
222,15,0.0012629032135009766,11877.394751746271,7.7,206.671875,,3380,3395
223,16,0.0013322830200195312,12009.460272011453,7.575,206.671875,,3395,3411
224,18,0.0014848709106445312,12122.265895953757,7.575,206.671875,,3411,3429
225,13,0.0011339187622070312,11464.666105971404,7.6375,206.671875,,3429,3442
226,28,0.002382040023803711,11754.630367330597,7.6,206.671875,,3442,3470
227,8,0.0006759166717529297,11835.77848324515,7.7125,206.671875,,3470,3478
228,26,0.002130270004272461,12205.025629546726,7.5375,206.671875,,3478,3504
229,11,0.0008921623229980469,12329.594869053983,7.5375,206.671875,,3504,3515
230,5,0.0004100799560546875,12192.744186046511,7.6875,206.671875,,3515,3520
231,8,0.0006511211395263672,12286.500183083119,7.5875,206.671875,,3520,3528
232,23,0.0021271705627441406,10812.485093028468,7.9375,206.671875,,3528,3551
233,41,0.0039081573486328125,10490.877501220108,8.0875,206.671875,,3551,3592
234,18,0.0015208721160888672,11835.314626116946,7.6125,206.671875,,3592,3610
235,11,0.0010569095611572266,10407.70223325062,8.1,206.671875,,3610,3621
236,12,0.0011751651763916016,10211.330493000609,8.05,206.671875,,3621,3633
237,14,0.0011620521545410156,12047.652031185884,7.4875,206.671875,,3633,3647
238,17,0.0016341209411621094,10403.146775605486,8.6,206.671875,,3647,3664
239,31,0.0026428699493408203,11729.672891294542,7.625,206.671875,,3664,3695
240,13,0.0010862350463867188,11967.943810359964,7.5375,206.671875,,3695,3708
241,16,0.0013687610626220703,11689.403239853684,7.6375,206.671875,,3708,3724
242,5,0.0004830360412597656,10351.194471865745,8.1,206.671875,,3724,3729
243,16,0.001302957534790039,12279.755535224154,7.35,206.671875,,3729,3745
244,20,0.001600027084350586,12499.788407092832,7.4375,206.671875,,3745,3765
245,8,0.0006620883941650391,12082.978754051135,7.725,206.671875,,3765,3773
246,27,0.002156972885131836,12517.542610810213,7.3875,206.671875,,3773,3800
247,5,0.0004100799560546875,12192.744186046511,7.45,206.671875,,3800,3805
248,28,0.0022399425506591797,12500.320596061734,7.375,206.671875,,3805,3833
249,23,0.0018739700317382812,12273.408651399492,7.3875,206.671875,,3833,3856
250,18,0.001432180404663086,12568.24904278342,7.425,206.671875,,3856,3874
251,5,0.00040912628173828125,12221.165501165502,7.475,206.671875,,3874,3879
252,5,0.0004100799560546875,12192.744186046511,7.6125,206.671875,,3879,3884
253,7,0.0005717277526855469,12243.589658048373,7.6,206.671875,,3884,3891
254,6,0.0005772113800048828,10394.805452292441,8.0875,206.671875,,3891,3897
255,8,0.0007741451263427734,10333.97967354481,8.25,206.671875,,3897,3905
256,16,0.0013539791107177734,11817.021306568058,7.65,206.671875,,3905,3921
257,15,0.001371145248413086,10939.760041731874,7.8625,206.671875,,3921,3936
258,28,0.002706289291381836,10346.270108360497,8.15,206.671875,,3936,3964
259,20,0.0019867420196533203,10066.732269290771,8.0875,206.671875,,3964,3984
260,25,0.0023360252380371094,10701.93917125944,8.0,206.671875,,3984,4009
261,17,0.0035839080810546875,4743.42522618414,10.4875,207.484375,,4009,4026
262,12,0.000978231430053711,12267.035827443335,7.3875,207.484375,,4026,4038
263,16,0.0014657974243164062,10915.560182173065,7.8375,207.484375,,4038,4054
264,8,0.0007090568542480469,11282.593140551446,7.8875,207.484375,,4054,4062
265,10,0.0008561611175537109,11680.044555834029,7.7625,207.484375,,4062,4072
266,13,0.0010349750518798828,12560.689242110113,7.3875,207.484375,,4072,4085
267,11,0.000885009765625,12429.241379310344,7.5,207.484375,,4085,4096
268,13,0.0010433197021484375,12460.226691042048,7.4625,207.484375,,4096,4109
269,13,0.0011749267578125,11064.51948051948,7.8625,207.484375,,4109,4122
270,17,0.0016376972198486328,10380.429174552337,8.1375,207.484375,,4122,4139
271,16,0.001567840576171875,10205.119221411192,8.125,207.484375,,4139,4155
272,34,0.003214120864868164,10578.320302648171,8.0625,207.484375,,4155,4189
273,7,0.0006690025329589844,10463.338560228083,8.2125,207.484375,,4189,4196
274,23,0.0021152496337890625,10873.42110009017,7.95,207.484375,,4196,4219
275,17,0.0013518333435058594,12575.514638447972,7.35,207.484375,,4219,4236
276,9,0.0007441043853759766,12095.077218840115,7.3625,207.484375,,4236,4245
277,27,0.002160787582397461,12495.443892750745,7.4,207.484375,,4245,4272
278,12,0.002418041229248047,4962.694537566555,8.0125,207.484375,,4272,4284
279,11,0.0009019374847412109,12195.967221781655,7.5375,207.484375,,4284,4295
280,22,0.0017626285552978516,12481.359123495198,7.425,207.484375,,4295,4317
281,15,0.0014328956604003906,10468.312811980033,8.1375,207.484375,,4317,4332
282,14,0.0012822151184082031,10918.604685756787,7.85,207.484375,,4332,4346
283,8,0.0006411075592041016,12478.405355150613,7.525,207.484375,,4346,4354
284,6,0.0004968643188476562,12075.731285988484,7.7375,207.484375,,4354,4360
285,10,0.0008299350738525391,12049.135305946567,7.2375,207.484375,,4360,4370
286,11,0.0008769035339355469,12544.139206090267,7.4375,207.484375,,4370,4381
287,16,0.0014107227325439453,11341.704242014534,7.65,207.484375,,4381,4397
288,5,0.0005080699920654297,9841.163772876584,8.5125,207.484375,,4397,4402
289,10,0.0008280277252197266,12076.890296573567,7.5625,207.484375,,4402,4412
290,19,0.0015878677368164062,11965.732132132132,7.5,207.484375,,4412,4431
291,22,0.0017900466918945312,12290.18220564731,7.3875,207.484375,,4431,4453
292,16,0.001287221908569336,12429.869235043527,7.5,207.484375,,4453,4469
293,8,0.0006380081176757812,12539.025411061286,7.4625,207.484375,,4469,4477
294,5,0.00040602684020996094,12314.456840869054,7.4375,207.484375,,4477,4482
295,17,0.0013878345489501953,12249.298745919945,7.3125,207.484375,,4482,4499
296,14,0.001116037368774414,12544.382824182867,7.5125,207.484375,,4499,4513
297,3,0.0002460479736328125,12192.744186046511,7.65,207.484375,,4513,4516
298,15,0.0011949539184570312,12552.785315243416,7.375,207.484375,,4516,4531
299,11,0.0008800029754638672,12499.957735031157,7.3625,207.484375,,4531,4542
300,15,0.001271963119506836,11792.794751640113,7.5625,207.484375,,4542,4557
301,16,0.001277923583984375,12520.310447761194,7.375,207.484375,,4557,4573
302,13,0.0011141300201416016,11668.29702546544,7.6625,207.484375,,4573,4586
303,30,0.002643108367919922,11350.27241565939,7.75,207.484375,,4586,4616
304,12,0.0009779930114746094,12270.026328620186,7.325,207.484375,,4616,4628
305,14,0.0011157989501953125,12547.063247863249,7.3875,207.484375,,4628,4642
306,12,0.0011761188507080078,10203.05047638354,8.0875,207.484375,,4642,4654
307,13,0.0011868476867675781,10953.385295299317,7.925,207.484375,,4654,4667
308,8,0.0006451606750488281,12400.011825572801,7.5125,207.484375,,4667,4675
309,30,0.0023849010467529297,12579.138258522444,7.3125,207.484375,,4675,4705
310,8,0.0006542205810546875,12228.291545189504,7.5375,207.484375,,4705,4713
311,10,0.0008020401000976562,12468.20451843044,7.425,207.484375,,4713,4723
312,13,0.0010981559753417969,11838.026921406861,7.5125,207.484375,,4723,4736
313,13,0.0012662410736083984,10266.607418565241,8.2,207.484375,,4736,4749
314,18,0.0015010833740234375,11991.339263024141,7.525,207.484375,,4749,4767
315,11,0.0008859634399414062,12415.862217438105,7.45,207.484375,,4767,4778
316,21,0.0016710758209228516,12566.7547439007,7.4,207.484375,,4778,4799
317,16,0.0012710094451904297,12588.419433502157,7.4125,207.484375,,4799,4815
318,5,0.000408172607421875,12249.719626168224,7.6125,207.484375,,4815,4820
319,12,0.0009608268737792969,12489.242679900744,7.425,207.484375,,4820,4832
